NOTE  |Author: LavaLoon MHK - v.1.0.0 [2017.10.7]
NOTE  |
NOTE  |
NOTE  |                 @mybot_persian
NOTE  |
NOTE  |     TH9: 2 Lava, 26 Balloons, 10 Minions, 5 WallBreakers, 4 Rage, 1 Haste(CC: 1 Lava, 1 Haste)
NOTE  |     TH10: 2 Lava, 28 Balloons, 15 Minions, 5 WallBreakers, 5 Rage, 1 Haste(CC: 1 Lava, 1 Balloons, 1 Haste)
NOTE  |		TH11: 2 Lava, 28 Balloons, 15 Minions, 5 WallBreakers, 5 Rage, 1 Haste(CC: 1 Lava, 1 Balloons, 1 Rage)
NOTE  |  



      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|       
SIDE  |0          |0          |0          |0          |0          |0          |10         |           |

      |EAGLE      |INFERNO    |XBOW       |WIZTOWER   |MORTAR     |AIRDEFENSE |GEMBOX     |GEMBOX     |
SIDEB |10         |5          |0          |0          |0          |3          |           |           |

      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|___________|
MAKE  |A          |FRONT-RIGHT|10         |1          |INT-EXT    |0          |1          |           |
MAKE  |B          |FRONT-LEFT |10         |1          |INT-EXT    |0          |1          |           |
MAKE  |C          |FRONT-LEFT |8          |1          |EXT-INT    |0          |1          |           |
MAKE  |D          |FRONT-RIGHT|8          |1          |INT-EXT    |0          |1          |           |
MAKE  |E          |FRONT-LEFT |10         |-10        |EXT-INT    |0          |0          |           |
MAKE  |F          |FRONT-RIGHT|10         |-10        |EXT-INT    |0          |0          |           |
MAKE  |G          |FRONT-RIGHT|10         |-17        |EXT-INT    |0          |0          |           |
MAKE  |H          |FRONT-LEFT |10         |-17        |EXT-INT    |0          |0          |           |   
MAKE  |I          |FRONT-LEFT |10         |-23        |EXT-INT    |0          |0          |           |
MAKE  |J          |FRONT-RIGHT|10         |-23        |EXT-INT    |0          |0          |           |
