NOTE  |Author: Reza_Haghighat - ver. 1.0
NOTE  |TH7,TH8
NOTE  |Troops:10 Dragons
NOTE  |Spells: 3 Lighting (1 Eerthquake For TH8)
NOTE  |TH9 CC: Balloons,(Haste For TH8)
NOTE  |
NOTE  |                    "Use External Edges"

      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|
SIDE  |0          |0          |0          |0          |0          |0          |10         |           |
      |EAGLE      |INFERNO    |XBOW       |WIZTOWER   |MORTAR     |AIRDEFENSE |GEMBOX     |GEMBOX     |
SIDEB |15         |0          |0          |0          |0          |5          |           |           |
      
      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|___________|
MAKE  |A          |FRONT-RIGHT|10         |1          |EXT-INT    |5          |5          |           |
MAKE  |B          |FRONT-LEFT |10         |1          |INT-EXT    |5          |5          |           |
MAKE  |C          |FRONT-RIGHT|10         |1          |INT-EXT    |5          |5          |           |
MAKE  |D          |FRONT-LEFT |50         |-7         |INT-EXT    |5          |5          |           |
MAKE  |E          |RIGHT-FRONT|1          |0          |IGNORE     |0          |0          |AIRDEFENSE |


      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|___________|
DROP  |E          |1          |3          |LSpell     |50         |50         |50         |           |
DROP  |E          |1          |1          |ESpell     |50         |50         |50         |           |
WAIT  |800-1000   |           |           |           |           |           |           |           |
DROP  |A          |10,8,6,4,2 |5          |Drag       |100-150    |0          |100-200    |           |
DROP  |B          |2,4,6,8,10 |5          |Drag       |100-150    |0          |100-200    |           |
WAIT  |2000-2500  |           |           |           |           |           |           |           |
DROP  |C          |1          |1          |Castle     |0          |0          |50         |           |
DROP  |C          |1          |1          |Warden     |0          |0          |200        |           |
RECALC|           |           |           |           |0          |0          |0          |           |
WAIT  |2000-2500  |           |           |           |           |           |           |           |
DROP  |D          |1          |1          |HaSpell    |0          |0          |100        |           |
WAIT  |2000-2500  |           |           |           |           |           |           |           |
DROP  |C          |1          |1          |Warden     |0          |0          |200        |           |
DROP  |C          |1          |3          |Wall       |0          |0          |1000       |           |
DROP  |C          |1          |3          |Wall       |0          |0          |200        |           |
WAIT  |1400-1500  |           |           |           |           |           |           |           |
DROP  |C          |1          |1          |King       |0          |0          |200        |           |
DROP  |C          |1          |1          |Queen      |0          |0          |200        |           |

