NOTE  |Author: Z E C K v3.6 [30.01.2018]
NOTE  |             ★★★TH 10-11★★★
NOTE  |Train: 12 Balloons, 15-17 BabyDragons, 1 LavaH 3 Rage, 1 Clone - in CC 1 Haste + 2 Haste Or 1 Rage and Balloons                   
NOTE  |
NOTE  |Note:[245-255 Camp capacities] you can set 13 Balloons. [250-260 Camp Capasities] you can set 16-17 BabyDragons.
NOTE  |       Script work on "EXTERNAL EDGES"

	  |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|
SIDE  |0          |0          |0          |0          |0          |0          |10         |           |
      |EAGLE      |INFERNO    |XBOW       |WIZTOWER   |MORTAR     |AIRDEFENSE |GEMBOX     |GEMBOX     |
SIDEB |15         |5          |0          |0          |0          |0          |0          |0          |

      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|BUILDING___|
MAKE  |A          |FRONT-LEFT |10         |0          |EXT-INT    |0          |5          |           |
MAKE  |B          |FRONT-RIGHT|10         |0          |INT-EXT    |0          |5          |           |
MAKE  |Z          |FRONT-RIGHT|10         |0          |EXT-INT    |0          |5          |           |
MAKE  |K          |FRONT-LEFT |10         |0          |INT-EXT    |0          |5          |           |
MAKE  |C          |FRONT-LEFT |10         |-7         |INT-EXT    |0          |5          |           |
MAKE  |D          |FRONT-RIGHT|10         |-8         |INT-EXT    |0          |5          |           |
MAKE  |E          |FRONT-LEFT |10         |-16        |INT-EXT    |0          |5          |           |
MAKE  |F          |FRONT-RIGHT|10         |-15        |INT-EXT    |0          |5          |           |
MAKE  |L          |FRONT-RIGHT|10         |-13        |INT-EXT    |0          |5          |           |
MAKE  |H          |FRONT-RIGHT|10         |-21        |INT-EXT    |0          |5          |           |
MAKE  |G          |FRONT-LEFT |10         |-22        |INT-EXT    |0          |5          |           |
MAKE  |M          |LEFT-FRONT |10         |0          |EXT-INT    |0          |5          |           |
MAKE  |N          |RIGHT-FRONT|10         |0          |EXT-INT    |0          |5          |           |

      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|___________|
DROP  |M          |2-3        |1          |BabyD      |70-90      |50-70      |500-1000   |           |
DROP  |N          |2-3        |1          |BabyD      |70-90      |50-70      |200-300    |           |
WAIT  |6000-7000  |           |           |           |           |           |           |           |	  
DROP  |A          |3,5,7,9    |4          |BabyD      |55-70      |27-50      |40         |           |
DROP  |B          |1,3,5,7    |4          |BabyD      |55-70      |28-55      |50         |           |
DROP  |Z          |8,9,10     |3          |BabyD      |50-70      |27-50      |20         |           |
DROP  |K          |1,2,3,4    |4          |BabyD      |50-70      |28-55      |500-700    |           |
DROP  |B          |4          |1          |Lava       |30-50      |27-70      |500-700    |           |
DROP  |A          |10         |1          |Warden     |50-70      |           |100-150    |           |
DROP  |D          |4          |1          |RSpell     |50-100     |           |500-700    |           |
DROP  |C          |4          |1          |RSpell     |50-100     |           |500-700    |           |
DROP  |D          |1          |1          |HaSpell    |50-100     |           |500-700    |           |
DROP  |A          |10         |1          |Castle     |30-50      |27-70      |500-700    |           |
DROP  |A          |4,6,8,10   |4          |Ball       |50-70      |36-55      |40         |           |
DROP  |B          |1,3,5,6    |4          |Ball       |50-70      |37-50      |50         |           |
DROP  |Z          |7,10       |2          |Ball       |55-70      |36-55      |30         |           |
DROP  |K          |1,3,5      |3          |Ball       |55-70      |37-50      |500-700    |           |
DROP  |M          |3          |1          |King       |0          |0          |50-100     |           |
DROP  |N          |3          |1          |Queen      |0          |0          |150-200    |           |
WAIT  |1500-2000  |           |           |           |           |           |           |           |
DROP  |E          |3          |1          |RSpell     |50-100     |           |500-700    |           |
DROP  |F          |2          |1          |RSpell     |50-100     |           |500-700    |           |
DROP  |F          |2          |1          |HaSpell    |50-100     |           |100-150    |           |
DROP  |H          |3          |1          |HaSpell    |50-100     |           |500-700    |           |
DROP  |L          |1          |1          |CSpell     |50-100     |           |500-700    |           |
WAIT  |7000-8000  |           |           |           |           |           |           |           |
DROP  |A          |10         |1          |Warden     |70-100     |           |500-700    |           |
DROP  |M-N        |7-10       |1          |REMAIN     |50-70      |100        |50-100     |           |
